discordants,split_reads,circle_score,mean_cov,cov_incr_start,cov_incr_end,con_continuity,len_coords,target
6.0,0.0,0.0,151.6,0.92,0.96,0.0,77.0,0.0
4.0,0.0,0.0,1.27,0.51,1.0,0.12,112.0,0.0
4.0,0.0,0.0,0.69,0.22,0.76,0.53,232.0,0.0
0.0,1.0,18.0,1.63,0.27,0.75,0.14,180.0,0.0
20.0,0.0,0.0,519.5,0.96,0.96,0.0,68.0,0.0
0.0,1.0,8.0,0.39,0.0,1.0,0.8,148.0,0.0
8.0,0.0,0.0,7.11,0.5,0.56,0.0,94.0,0.0
4.0,0.0,0.0,2.63,0.9,0.9,0.0,68.0,0.0
8.0,0.0,0.0,4.12,0.59,0.96,0.0,69.0,0.0
4.0,0.0,0.0,1.86,0.84,0.88,0.0,109.0,0.0
0.0,1.0,18.0,4.86,0.47,0.6,0.0,121.0,0.0
4.0,0.0,0.0,9.31,0.69,0.49,0.0,193.0,0.0
4.0,0.0,0.0,8.83,0.64,0.94,0.0,60.0,0.0
0.0,1.0,10.0,6.88,0.38,0.83,0.0,104.0,0.0
0.0,1.0,16.0,0.56,0.35,1.0,0.61,1020.0,0.0
0.0,1.0,27.0,1.23,0.35,0.94,0.37,175169081.0,0.0
0.0,1.0,20.0,1.49,0.33,0.99,0.55,45042342.0,0.0
4.0,0.0,0.0,1.38,0.23,0.72,0.11,61.0,0.0
0.0,1.0,13.0,0.85,0.52,1.0,0.47,36939878.0,0.0
0.0,2.0,50.0,5.54,0.84,0.81,0.0,126.0,0.0
0.0,1.0,13.0,0.62,0.3,0.56,0.54,6769781.0,0.0
0.0,1.0,30.0,2.88,0.29,0.2,0.0,84.0,0.0
0.0,4.0,87.96,21.84,0.26,0.08,0.09,506.0,0.0
0.0,1.0,22.0,12.78,0.35,0.77,0.0,192.0,0.0
3.0,0.0,0.0,42.54,0.76,0.96,0.0,126.0,0.0
6.0,0.0,0.0,38.89,0.59,0.41,0.0,157.0,0.0
4.0,0.0,0.0,1.5,0.59,0.99,0.02,111.0,0.0
8.0,0.0,0.0,266.81,0.92,0.67,0.0,152.0,0.0
6.0,0.0,0.0,406.58,0.94,0.99,0.0,145.0,0.0
8.0,0.0,0.0,34.61,0.25,0.95,0.0,262.0,0.0
3.0,0.0,0.0,5.85,0.99,0.74,0.0,99.0,0.0
0.0,1.0,19.0,6.29,0.68,0.63,0.0,85.0,0.0
4.0,0.0,0.0,0.45,0.33,1.0,0.57,495.0,0.0
0.0,1.0,23.0,2.92,0.53,0.57,0.0,105.0,0.0
3.0,0.0,0.0,26.73,0.96,0.52,0.0,1544.0,0.0
4.0,0.0,0.0,1.14,0.99,1.0,0.07,132.0,0.0
0.0,2.0,18.0,7.78,0.4,0.38,0.0,80.0,0.0
4.0,0.0,0.0,14.87,0.55,0.72,0.0,107.0,0.0
0.0,1.0,58.0,2.65,0.29,0.79,0.08,206.0,0.0
0.0,1.0,33.0,1.5,0.4,1.0,0.33,424.0,0.0
0.0,1.0,7.92,2.59,0.33,0.48,0.06,100.0,0.0
4.0,0.0,0.0,7.25,0.73,0.63,0.0,159.0,0.0
0.0,1.0,8.0,3.47,0.43,0.95,0.0,96.0,0.0
0.0,1.0,39.0,7.87,0.33,0.31,0.0,69.0,0.0
